,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
6235,10.382994731267294,0.07490964145254603,0.15648508071899414,0.010369444293349609,balanced_subsample,entropy,10,40,100,200,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 40, 'max_leaf_nodes': 100, 'n_estimators': 200}",0.5717079530638852,0.5792991035044824,0.5800456472122595,0.5770171149144253,0.0037669518544021703,3074
6236,3.1293746630350747,0.009508663188557765,0.06474081675211589,0.003317726255964919,balanced_subsample,entropy,10,40,1000,50,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 40, 'max_leaf_nodes': 1000, 'n_estimators': 50}",0.5775749674054759,0.5796251018744907,0.5780893381154223,0.5784297745177941,0.0008709190250556136,2262
6237,6.262653986612956,0.04653793050387863,0.1154939333597819,0.0004587828666921853,balanced_subsample,entropy,10,40,1000,100,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 40, 'max_leaf_nodes': 1000, 'n_estimators': 100}",0.5713820078226858,0.5841890790546047,0.5806977502445386,0.5787557728878022,0.005405945835701569,2089
6238,9.266778071721395,0.04253739170068315,0.15648452440897623,0.0032204126335912677,balanced_subsample,entropy,10,40,1000,150,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 40, 'max_leaf_nodes': 1000, 'n_estimators': 150}",0.5730117340286832,0.586960065199674,0.5803716987283991,0.5801140994295029,0.00569752608478635,1387
6239,12.0861124197642,0.08934658561504778,0.19454852739969888,0.004531355901341393,balanced_subsample,entropy,10,40,1000,200,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 40, 'max_leaf_nodes': 1000, 'n_estimators': 200}",0.5741525423728814,0.5843520782396088,0.5828170850994457,0.580440097799511,0.004490454163314158,1250
6240,3.134581963221232,0.015965204313594415,0.05758261680603027,0.002108108050868528,balanced_subsample,entropy,10,50,,50,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 50, 'max_leaf_nodes': None, 'n_estimators': 50}",0.5730117340286832,0.5802770986145069,0.5800456472122595,0.5777777777777777,0.0033718379581048658,2624
6241,6.173188924789429,0.09243914895077843,0.10410634676615398,0.0016593227464341837,balanced_subsample,entropy,10,50,,100,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 50, 'max_leaf_nodes': None, 'n_estimators': 100}",0.5702411994784876,0.5801140994295029,0.5831431366155853,0.5778321108394459,0.005508817072694163,2591
6242,8.697445313135782,0.024759009168787878,0.14054361979166666,0.0028733834602642353,balanced_subsample,entropy,10,50,,150,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 50, 'max_leaf_nodes': None, 'n_estimators': 150}",0.5752933507170795,0.5833740831295844,0.5837952396478644,0.5808204292311872,0.003912491920531701,1094
6243,11.339797576268515,0.11454331138411439,0.19650053977966309,0.008178946310835157,balanced_subsample,entropy,10,50,,200,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 50, 'max_leaf_nodes': None, 'n_estimators': 200}",0.5748044328552803,0.5796251018744907,0.5842843169220737,0.5795707688128227,0.003870337103684266,1669
6244,0.6939353148142496,0.008980962119516486,0.020821809768676758,0.0018404691598729495,balanced_subsample,entropy,10,50,2,50,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 50, 'max_leaf_nodes': 2, 'n_estimators': 50}",0.5337353324641461,0.5599022004889975,0.5748288229540267,0.5561532192339038,0.016984500272940458,7664
